call_id,agent_id,customer_phone,start_time,end_time,call_outcome,language,disposition_code,amount_promised,retry_flag,call_duration_seconds,call_hour,call_date,is_weekend,duration_bucket,is_amount_imputed
CALL_2,AGENT_4,9542621108,2026-05-14 08:01:05,2026-05-14 08:04:58,connected,Marathi,PTP,5000.0,False,233.0,8,2026-05-14,False,medium,False
CALL_3,AGENT_1,9814763202,2026-02-15 17:17:51,2026-02-15 17:32:51,no_answer,Marathi,FOLLOW_UP,1000.0,False,900.0,17,2026-02-15,True,long,False
CALL_5,AGENT_9,9314797776,2026-04-18 09:59:24,2026-04-18 10:00:54,dropped,Marathi,PTP,0.0,True,90.0,9,2026-04-18,True,medium,True
CALL_6,AGENT_2,9408157429,2026-02-25 12:05:54,2026-02-25 12:10:02,dropped,English,CALL_BACK,1000.0,True,248.0,12,2026-02-25,False,medium,False
CALL_7,AGENT_2,9654049436,2026-03-12 11:42:17,2026-03-12 11:54:25,no_answer,Marathi,CALL_BACK,500.0,True,728.0,11,2026-03-12,False,long,False
CALL_8,AGENT_9,9235809993,2026-04-13 12:59:40,2026-04-13 13:11:34,dropped,Hindi,PTP,0.0,False,714.0,12,2026-04-13,False,long,True
CALL_10,AGENT_5,9802099969,2026-03-05 11:47:35,2026-03-05 11:56:56,callback_requested,Marathi,FOLLOW_UP,1000.0,True,561.0,11,2026-03-05,False,long,False
CALL_11,AGENT_2,9164112119,2026-02-17 15:05:48,2026-02-17 15:06:46,no_answer,Marathi,FOLLOW_UP,5000.0,True,58.0,15,2026-02-17,False,short,False
CALL_13,AGENT_1,9775340444,2026-03-04 12:27:10,2026-03-04 12:35:04,dropped,Marathi,PTP,5000.0,True,474.0,12,2026-03-04,False,long,False
CALL_14,AGENT_3,9401486939,2026-03-27 18:32:38,2026-03-27 18:36:11,no_answer,Marathi,CALL_BACK,0.0,False,213.0,18,2026-03-27,False,medium,True
CALL_15,AGENT_5,9257109965,2026-04-01 09:59:23,2026-04-01 10:13:44,connected,Hindi,CALL_BACK,0.0,True,861.0,9,2026-04-01,False,long,True
CALL_16,AGENT_3,9137859287,2026-04-27 09:48:34,2026-04-27 10:01:48,callback_requested,Marathi,PTP,1000.0,False,794.0,9,2026-04-27,False,long,False
CALL_17,AGENT_5,9428414718,2026-02-18 20:46:44,2026-02-18 20:50:19,dropped,English,CALL_BACK,2000.0,True,215.0,20,2026-02-18,False,medium,False
CALL_18,AGENT_9,9247083812,2026-02-08 09:21:01,2026-02-08 09:31:13,no_answer,Hindi,PTP,0.0,True,612.0,9,2026-02-08,True,long,True
CALL_19,AGENT_5,9718309417,2026-01-02 13:04:32,2026-01-02 13:08:45,callback_requested,Hindi,CALL_BACK,500.0,False,253.0,13,2026-01-02,False,medium,False
CALL_21,AGENT_7,9781913386,2026-01-22 18:41:06,2026-01-22 18:42:18,dropped,Hindi,PTP,500.0,True,72.0,18,2026-01-22,False,medium,False
CALL_22,AGENT_8,9268227631,2026-05-15 10:27:11,2026-05-15 10:32:06,connected,English,CALL_BACK,0.0,True,295.0,10,2026-05-15,False,medium,True
CALL_23,AGENT_4,9178575192,2026-05-27 08:05:59,2026-05-27 08:19:00,callback_requested,English,FOLLOW_UP,500.0,False,781.0,8,2026-05-27,False,long,False
